asset,group,driver,lookback,horizon,tradeable,base_rate,hit_raw,chance_agree,p_up_yields_fell,p_up_yields_rose,spread,p_null,spread_h1,spread_h2,n,stable
USDJPY,fx,real10,21,1,1,0.5205187766163376,0.4812233836624081,0.5005798957386731,0.5112951807228916,0.5286544850498339,-0.017359304326942326,0.188,-0.023967364231479493,-0.007746387025899026,5166,0
USDJPY,fx,real10,21,5,1,0.5290585044556374,0.4860519178612941,0.5008331380587823,0.5239171374764595,0.5334719334719334,-0.00955479599547393,0.7005,0.012092587178530734,-0.022732139952508446,5162,0
USDJPY,fx,real10,21,21,1,0.5264282938204431,0.5052467936261174,0.5008422542142543,0.5397363465160075,0.5115110925073253,0.028225254008682255,0.4475,0.04497366569695588,0.024172279669860575,5146,1
USDJPY,fx,be10,1,0,0,0.520431765612953,0.35408635312259057,0.49565214548251735,0.460822722820764,0.572584483579248,-0.11176176075848399,0.0,-0.10057111207961072,-0.12190461214827375,5188,1
USDJPY,fx,be10,1,1,1,0.5204396451986116,0.3945237177015041,0.49565667392810064,0.5127326150832517,0.5228571428571429,-0.010124527773891168,0.507,0.005674810801771513,-0.024857065878655327,5186,0
USDJPY,fx,be10,1,5,1,0.5287533770744887,0.3967580084909301,0.4939075245025495,0.5274240940254652,0.5326657129232236,-0.005241618897758427,0.753,-0.009056985504820536,0.0015003765349562714,5182,0
USDJPY,fx,be10,1,21,1,0.5276809910956253,0.3983739837398374,0.4940951505638058,0.5191929133858267,0.5191204588910134,7.245449481330102e-05,0.997,-0.01612044356609571,0.021891527211253647,5166,0
USDJPY,fx,be10,5,0,0,0.5289351851851852,0.3900462962962963,0.49791246927869226,0.45322245322245325,0.6068734283319362,-0.153650975109483,0.0,-0.11629492898174887,-0.18794563610250847,5184,1
USDJPY,fx,be10,5,1,1,0.5204554226167503,0.4615978386723273,0.4985315675003028,0.5180873180873181,0.5151006711409396,0.002986646946378513,0.811,0.02736128186581588,-0.019726037860752887,5182,0
USDJPY,fx,be10,5,5,1,0.5287755890305137,0.4619544225569718,0.4979438068865798,0.5299500831946755,0.5287694246115078,0.0011806585831677374,0.9665,0.031106368725115463,-0.025017320010030653,5178,0
USDJPY,fx,be10,5,21,1,0.5278961642774118,0.4854707477721813,0.49800046865892245,0.5500834724540902,0.49810366624525915,0.051979806208831025,0.05,0.03622354050378379,0.07455406494497585,5162,1
USDJPY,fx,be10,21,0,0,0.5278637770897833,0.41544117647058826,0.4981992063568136,0.45676458419528343,0.593701399688958,-0.13693681549367454,0.0005,-0.12041747575286371,-0.14438080525754227,5168,1
USDJPY,fx,be10,21,1,1,0.5205187766163376,0.48683701122725515,0.4986813329778118,0.5266859743483657,0.5151750972762645,0.011510877072101189,0.41,0.027146996083924957,-0.001670405974157796,5166,0
