date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m
2022-07-21,put,0.970873786407767,2022-07-21 12:15:00,0.97048,-0.0008758552468881575,break,-0.0005358173275079592,break,-0.0007315967356359421,break,,
2022-07-21,put,0.970873786407767,2022-07-21 12:20:00,0.97012,-0.001113264338432285,break,-0.0006906362099533547,break,-0.0005154001566816113,break,,
2022-07-21,put,0.970873786407767,2022-07-21 13:40:00,0.97102,-0.0009268604148215953,break,0.0005355193507856626,reject,-0.0015241704599288086,break,,
2022-07-21,put,0.970873786407767,2022-07-21 13:46:00,0.97108,-9.268031470122118e-05,reject,-0.0008444206450550773,break,-0.0016888412901100436,break,,
2022-07-21,put,0.970873786407767,2022-07-21 14:37:00,0.97092,-0.00050467597742343,break,-0.0017818151855971687,break,-0.002430684299427388,break,,
2022-07-21,put,0.970873786407767,2022-07-21 14:42:00,0.97103,-0.0015035580775052404,break,-0.0016271381934646056,break,-0.002739359237098782,break,,
2022-12-13,put,0.9302325581395349,2022-12-13 13:30:00,0.93044,-0.003331757018184889,break,-0.0064163191608271886,break,-0.0025256867718499443,break,,
2022-12-13,put,0.9302325581395349,2022-12-13 13:34:00,0.93182,-0.007222424931853766,break,-0.00678242579038868,break,-0.0036702367410014203,break,,
2022-12-13,put,0.9302325581395349,2022-12-13 13:36:00,0.9309,-0.006058652916532403,break,-0.005661188097540015,break,-0.002567407884842665,break,,
2022-12-15,put,0.9302325581395349,2022-12-15 17:12:00,0.9303,0.0,reject,0.0009459314199720126,reject,-0.001762872191766074,break,,
2022-12-15,put,0.9302325581395349,2022-12-15 17:18:00,0.93064,-0.0009670764205278459,break,0.0002256511647897863,reject,-0.0019986246024240595,break,,
2022-12-15,put,0.9302325581395349,2022-12-15 17:24:00,0.93045,-0.00018270729217051418,reject,3.2242463324116954e-05,reject,-0.0017948304583802477,break,,
2022-12-15,put,0.9302325581395349,2022-12-15 17:27:00,0.9303,-0.0002794797377190239,break,0.0002794797377190239,reject,-0.0018058690744920947,break,,
2022-12-15,put,0.9302325581395349,2022-12-15 18:24:00,0.93048,-0.0003868970853753151,break,-0.0015690826240220002,break,-0.0025578196199810277,break,,
2022-12-16,put,0.9302325581395349,2022-12-16 14:34:00,0.93045,-0.0009887688752754364,break,0.00033317212101668936,reject,0.0015798807028857276,reject,,
2022-12-16,put,0.9302325581395349,2022-12-16 14:45:00,0.93004,-0.0008494258311469993,break,0.001118231473915099,reject,0.002322480753516043,reject,,
