zlb,cls,h,outcome,pred,demean,t,r,n_dates,mde_r,abs_t
126,FX,21,rng,cvol_chg5,False,0.558951966591558,0.05013225213581005,126,0.2494438257849294,0.558951966591558
252,FX,21,rng,cvol_chg5,False,0.558951966591558,0.05013225213581005,126,0.2494438257849294,0.558951966591558
252,all,5,rng,skew,True,0.5653475534846147,0.024480581943958957,535,0.12105455632679274,0.5653475534846147
126,all,5,rng,skew,True,0.5653475534846147,0.024480581943958957,535,0.12105455632679274,0.5653475534846147
252,all,5,ret,skew,True,0.575340218796462,0.02491301637983837,535,0.12105455632679274,0.575340218796462
126,all,5,ret,skew,True,0.575340218796462,0.02491301637983837,535,0.12105455632679274,0.575340218796462
252,FX,5,rng,cvol_z,False,0.5831564406216774,0.02655268264374534,484,0.12727272727272726,0.5831564406216774
252,all,10,rng,skew,False,0.5971262702205545,0.03665652264925717,267,0.17135721718138927,0.5971262702205545
126,all,10,rng,skew,False,0.5971262702205545,0.03665652264925717,267,0.17135721718138927,0.5971262702205545
126,all,5,ret,skew,False,0.6189491742840093,0.02680003511732623,535,0.12105455632679274,0.6189491742840093
252,all,5,ret,skew,False,0.6189491742840093,0.02680003511732623,535,0.12105455632679274,0.6189491742840093
252,all,10,ret,skew,True,0.6332573253580607,0.03887128813332078,267,0.17135721718138927,0.6332573253580607
126,all,10,ret,skew,True,0.6332573253580607,0.03887128813332078,267,0.17135721718138927,0.6332573253580607
126,FX,10,rng,skew,False,0.6360669546077341,0.03904348952105197,267,0.17135721718138927,0.6360669546077341
